outcome_key,domain,question,n_routes,rarity,first_tier,cheapest,most_capable,no_contact,privacy_safe,all_routes
glass-broken,Security & safety,Did glass break?,9,,FOUNDATION,Piezo contact mic / disc ($0.5),PDM MEMS microphone,KY-037/038 sound modules ($1),KY-037/038 sound modules ($1),Piezo contact mic / disc ($0.5) | KY-037/038 sound modules ($1) | INMP441 I2S MEMS mic ($3) | Piezo shock/knock element ($3) | PDM MEMS microphone ($3.0) | ICS-43434 I2S mic ($5) | MAX4466 adjustable mic amp ($6) | MAX9814 AGC mic amp ($7) | SPH0645 I2S mic ($7)
perimeter-crossed,Security & safety,"Was the boundary crossed, and where along it?",9,,BROAD,Photoelectric beam sensor E18-D80NK ($3),Type 4 safety light curtain,Photoelectric beam sensor E18-D80NK ($3),Photoelectric beam sensor E18-D80NK ($3),Photoelectric beam sensor E18-D80NK ($3) | Water leak rope sensor ($10) | Ground vibration fence: fiber + photodiode ($10) | LD2450 multi-target tracking radar ($12) | Weight-in-motion: piezo cable ($15) | Geophone SM-24 ($30) | RPLIDAR / LD19 scanning LiDAR ($40) | Through-beam photoelectric pair ($95.0) | Type 4 safety light curtain ($800.0)
fire-present,Security & safety,Is there a flame?,8,,CORE,IR flame detector (flicker) ($2),FLIR Lepton 3.5,IR flame detector (flicker) ($2),IR flame detector (flicker) ($2),IR flame detector (flicker) ($2) | MAX31855 thermocouple amp ($15) | Compost / hay temp lance ($15) | PMS7003 laser particle counter ($20.0) | MLX90614 forehead mode ($25) | Figaro TGS6812 catalytic pellistor ($35.0) | FLIR Lepton 3.1R radiometric thermal module ($180.0) | FLIR Lepton 3.5 ($240)
stove-left-on,Security & safety,Was the hob left on with nobody there?,8,,FOUNDATION,MQ-2 smoke/LPG gas ($2),MLX90641 thermal (16x12),MQ-2 smoke/LPG gas ($2),MQ-2 smoke/LPG gas ($2),MQ-2 smoke/LPG gas ($2) | IR flame detector (flicker) ($2) | MQ-4 methane / natural gas ($2.5) | INMP441 I2S MEMS mic ($3) | MLX90614 IR thermometer ($8) | Grid-EYE AMG8833 thermal array ($35) | MLX90640 thermal camera ($45) | MLX90641 thermal (16x12) ($60)
vehicle-speed,Security & safety,How fast are vehicles going past?,6,,CORE,NEO-6M GPS ($8),TI AWR1642 77GHz automotive radar EVM,NEO-6M GPS ($8),Weight-in-motion: piezo cable ($15),NEO-6M GPS ($8) | Weight-in-motion: piezo cable ($15) | High-g accel ADXL375 ($18) | TF-Luna LiDAR ($25) | Geophone SM-24 ($30) | TI AWR1642 77GHz automotive radar EVM ($299.0)
tank-level,Water,How much is in the tank?,39,,FOUNDATION,ESP32 native touch pins ($0),Guided-wave radar level transmitter,Reed switch ($0.5),Reed switch ($0.5),ESP32 native touch pins ($0) | Reed switch ($0.5) | HC-SR04 ultrasonic ($1.5) | SI4432/CC1101 sub-GHz sniffer ($4) | US-100 ultrasonic w/ temp comp ($4) | Vertical float level switch (reed) ($4.0) | VL53L0X ToF laser ($5) | HX711 + load cell ($5) | Stainless vertical float level switch ($5.0) | LPS22HB pressure sensor ($6) | JSN-SR04T waterproof ultrasonic ($6) | TLV493D 3D magnetic ($6) | MPR121 12-pad cap touch ($6) | Water level capacitive strip ($7) | Capacitive proximity switch M18 ($7.0) | MLX90393 wide-range 3D mag ($8) | Non-contact liquid level XKC-Y26 ($8) | VL6180X short-range ToF ($8) | Bat/dolphin: 40kHz ranging array ($8) | A02YYUW waterproof ultrasonic ($9) | Capacitive liquid/force FDC1004 ($9) | Scale-hacking: NAU7802 ($12) | MPRLS ported pressure ($15) | Draw-wire (string pot) sensor ($15) | VL53L4CX multi-target ToF ($15.0) | FDC2214 capacitive proximity front-end ($15.0) | Optical infrared water-in-fuel ($18) | Trill flexible touch sliders ($20) | TF-Luna LiDAR ($25) | Ultrasonic liquid (through-wall) ($25) | eTape liquid level ($40) | Snow/level laser (outdoor ToF) ($70) | Submersible hydrostatic level transmitter ($70.0) | Acconeer XM125 pulsed coherent radar ($70.0) | Vibrating-fork level switch ($90.0) | MaxBotix MB7389 weather LV ($110) | 4-20mA loop pressure transmitter ($150.0) | Benewake TF03 long-range industrial LiDAR ($180.0) | Guided-wave radar level transmitter ($290.0)
water-leak,Water,Is water escaping where it shouldn't?,19,,FOUNDATION,Piezo contact mic / disc ($0.5),Transit-time ultrasonic flow (clamp-on),HDC3022 humidity + temp ($7),Capacitive soil moisture v2 ($2),Piezo contact mic / disc ($0.5) | Capacitive soil moisture v2 ($2) | Capacitive rain/condensation plate ($3) | Vertical float level switch (reed) ($4.0) | YF-S201 flow sensor ($5) | Stainless vertical float level switch ($5.0) | HDC3022 humidity + temp ($7) | Water level capacitive strip ($7) | Non-contact liquid level XKC-Y26 ($8) | Capacitive liquid/force FDC1004 ($9) | Water leak rope sensor ($10) | Acoustic emission (ultrasonic contact) ($10) | Paddle flow switch ($12.0) | MPRLS ported pressure ($15) | Optical infrared water-in-fuel ($18) | eTape liquid level ($40) | Hydrophone ($45.0) | Transit-time ultrasonic flow (clamp-on) ($85) | Vibrating-fork level switch ($90.0)
pump-dry,Water,Is the pump about to run dry?,18,,BROAD,Vertical float level switch (reed) ($4),Paddlewheel insertion flow sensor,Water level capacitive strip ($7),Vertical float level switch (reed) ($4),Vertical float level switch (reed) ($4.0) | YF-S201 flow sensor ($5) | Stainless vertical float level switch ($5.0) | Water level capacitive strip ($7) | Non-contact liquid level XKC-Y26 ($8) | A02YYUW waterproof ultrasonic ($9) | Capacitive liquid/force FDC1004 ($9) | DS18B20 water temp + flow combo ($10) | Paddle flow switch ($12.0) | MPRLS ported pressure ($15) | Optical infrared water-in-fuel ($18) | Ultrasonic liquid (through-wall) ($25) | eTape liquid level ($40) | Submersible hydrostatic level transmitter ($70.0) | Transit-time ultrasonic flow (clamp-on) ($85) | Vibrating-fork level switch ($90.0) | 4-20mA loop pressure transmitter ($150.0) | Paddlewheel insertion flow sensor ($320.0)
flow-rate,Water,How fast is water flowing?,11,,FOUNDATION,A3144 / SS49E Hall switches ($0.4),Paddlewheel insertion flow sensor,A3144 / SS49E Hall switches ($0.4),A3144 / SS49E Hall switches ($0.4),A3144 / SS49E Hall switches ($0.4) | Reed switch ($0.5) | Through-beam slot / photo-interrupter ($1) | YF-S201 flow sensor ($5) | Nano33-style 1kg beam scale kit ($8) | DS18B20 water temp + flow combo ($10) | Paddle flow switch ($12.0) | Transit-time ultrasonic flow (clamp-on) ($85) | Thermal microflow sensor for liquids ($150.0) | Electromagnetic (mag) flowmeter ($300.0) | Paddlewheel insertion flow sensor ($320.0)
water-used-total,Water,"How much water was used, by whom, and when?",9,,FOUNDATION,A3144 / SS49E Hall switches ($0.4),Paddlewheel insertion flow sensor,A3144 / SS49E Hall switches ($0.4),A3144 / SS49E Hall switches ($0.4),A3144 / SS49E Hall switches ($0.4) | Reed switch ($0.5) | YF-S201 flow sensor ($5) | Nano33-style 1kg beam scale kit ($8) | DS18B20 water temp + flow combo ($10) | Submersible hydrostatic level transmitter ($70.0) | Transit-time ultrasonic flow (clamp-on) ($85) | Electromagnetic (mag) flowmeter ($300.0) | Paddlewheel insertion flow sensor ($320.0)
water-nutrients,Water,How concentrated is the nutrient solution?,8,,CORE,ADS1115 16-bit ADC (the analog fixer) ($3),Ammonium ion-selective electrode,TCS34725 RGB color ($7),ADS1115 16-bit ADC (the analog fixer) ($3),ADS1115 16-bit ADC (the analog fixer) ($3) | TCS34725 RGB color ($7) | Color-changing material readers ($10) | EC / TDS sensor ($12) | RS-485 soil NPK/EC probe ($40) | High-range EC probe for salinity (K=10) ($70.0) | Soil/water nitrate ion-selective ($90) | Ammonium ion-selective electrode ($189.0)
water-hot-enough,Water,Is the water at the right temperature?,7,,FOUNDATION,NTC thermistor 10k ($0.3),4-wire PT100 RTD probe with thermowell,MLX90614 IR thermometer ($8),NTC thermistor 10k ($0.3),NTC thermistor 10k ($0.3) | DS18B20 digital temp probe ($2.5) | MLX90614 IR thermometer ($8) | DS18B20 water temp + flow combo ($10) | TMP117 ultra-precise temp ($11) | MAX31865 RTD amplifier ($15) | 4-wire PT100 RTD probe with thermowell ($25.0)
water-sanitised,Water,Is the sanitiser actually working?,5,,COMPLETE,AS7331 spectral UV ($27.5),Free-chlorine amperometric membrane probe,AS7331 spectral UV ($27.5),AS7331 spectral UV ($27.5),AS7331 spectral UV ($27.5) | Analog pH kit ($30) | ORP (redox) probe ($110) | Alphasense CL2-A1 chlorine cell ($130.0) | Free-chlorine amperometric membrane probe ($390.0)
thermal-energy-moved,Water,How much heat did this water actually carry?,5,,FOUNDATION,DS18B20 digital temp probe ($2.5),Transit-time ultrasonic flow (clamp-on),Transit-time ultrasonic flow (clamp-on) ($85),DS18B20 digital temp probe ($2.5),DS18B20 digital temp probe ($2.5) | DS18B20 water temp + flow combo ($10) | MAX31865 RTD amplifier ($15) | 4-wire PT100 RTD probe with thermowell ($25.0) | Transit-time ultrasonic flow (clamp-on) ($85)
water-ph,Water,Is the water too acidic or alkaline?,4,,CORE,ADS1115 16-bit ADC (the analog fixer) ($3),Analog pH kit,TCS34725 RGB color ($7),ADS1115 16-bit ADC (the analog fixer) ($3),ADS1115 16-bit ADC (the analog fixer) ($3) | TCS34725 RGB color ($7) | Color-changing material readers ($10) | Analog pH kit ($30)
water-clarity,Water,"Is the water cloudy — sediment, algae, runoff?",3,rare,CORE,TCS3200 frequency-output colour sensor ($4),Turbidity sensor,TCS3200 frequency-output colour sensor ($4),TCS3200 frequency-output colour sensor ($4),TCS3200 frequency-output colour sensor ($4.0) | TSL2591 high dynamic lux ($7) | Turbidity sensor ($12)
water-oxygen,Water,Is there enough oxygen for fish or microbes?,2,rare,COMPLETE,ORP (redox) probe ($110),Dissolved oxygen kit (Atlas EZO-DO),— none,ORP (redox) probe ($110),ORP (redox) probe ($110) | Dissolved oxygen kit (Atlas EZO-DO) ($170)
frost-tonight,Weather & outdoors,Will there be frost tonight?,17,,FOUNDATION,NTC thermistor 10k ($0.3),Capacitive rain/condensation plate,AHT20 temp/humidity ($2),NTC thermistor 10k ($0.3),NTC thermistor 10k ($0.3) | TMP36 analog temp ($1.5) | AHT20 temp/humidity ($2) | DS18B20 digital temp probe ($2.5) | Capacitive rain/condensation plate ($3) | DHT22 / AM2302 ($4) | Si7021 humidity/temp ($4) | SHTC3 tiny low-power RH/T ($4) | MCP9808 precision temp ($5) | DS18B20 soil temp spear ($5) | SHT41 humidity + temp ($6) | BME280 climate combo ($6) | MLX90614 IR thermometer ($8) | TMP117 ultra-precise temp ($11) | SHT31 weatherproof probe ($12) | Anemometer cup sensor ($12) | Leaf wetness sensor ($15)
sky-clear,Weather & outdoors,Is the sky clear or clouded?,17,,FOUNDATION,Photoresistor (LDR) ($0.2),Pyranometer (solar irradiance),Photoresistor (LDR) ($0.2),Photoresistor (LDR) ($0.2),Photoresistor (LDR) ($0.2) | BMP280 budget barometer ($1.5) | BH1750 lux sensor ($2.5) | MAX44009 ultra-low-power lux ($3) | ALS-PT19 ambient light phototransistor ($3.0) | GUVA-S12SD UV analog ($4) | TSL2561 lux sensor ($4) | VEML7700 high-accuracy lux ($5) | LTR-390 UV + ambient ($5) | ML8511 / VEML6075 UV outdoor ($6) | VEML6030 ambient light sensor ($6.0) | TSL2591 high dynamic lux ($7) | MLX90614 IR thermometer ($8) | SI1145 UV/IR/visible ($8) | OPT3001 photometric lux sensor ($8.0) | OPT4048 tristimulus color ($9) | Pyranometer (solar irradiance) ($60)
flood-rising,Weather & outdoors,"Is water rising, and how fast?",16,,BROAD,US-100 ultrasonic w/ temp comp ($4),Benewake TF03 long-range industrial LiDAR,US-100 ultrasonic w/ temp comp ($4),US-100 ultrasonic w/ temp comp ($4),US-100 ultrasonic w/ temp comp ($4) | Stainless vertical float level switch ($5.0) | LPS22HB pressure sensor ($6) | JSN-SR04T waterproof ultrasonic ($6) | Water level capacitive strip ($7) | Non-contact liquid level XKC-Y26 ($8) | A02YYUW waterproof ultrasonic ($9) | Water leak rope sensor ($10) | Tipping bucket rain gauge ($12) | MPRLS ported pressure ($15) | Optical infrared water-in-fuel ($18) | eTape liquid level ($40) | Snow/level laser (outdoor ToF) ($70) | Submersible hydrostatic level transmitter ($70.0) | MaxBotix MB7389 weather LV ($110) | Benewake TF03 long-range industrial LiDAR ($180.0)
storm-approaching,Weather & outdoors,Is a storm coming?,11,,FOUNDATION,BMP280 budget barometer ($1.5),Atmospheric electricity (field mill lite),BMP280 budget barometer ($1.5),BMP280 budget barometer ($1.5),BMP280 budget barometer ($1.5) | BME280 climate combo ($6) | MS5611 high-res altimeter ($6) | LPS22HB pressure sensor ($6) | DPS310 barometer ($7) | BMP390 precision barometer ($10) | Anemometer cup sensor ($12) | Wind vane ($12) | BME688 gas + climate AI ($15) | Atmospheric electricity (field mill lite) ($15) | AS3935 lightning detector ($20)
snow-depth,Weather & outdoors,How deep is the snow?,7,,BROAD,US-100 ultrasonic w/ temp comp ($4),Benewake TF03 long-range industrial LiDAR,US-100 ultrasonic w/ temp comp ($4),US-100 ultrasonic w/ temp comp ($4),US-100 ultrasonic w/ temp comp ($4) | JSN-SR04T waterproof ultrasonic ($6) | A02YYUW waterproof ultrasonic ($9) | Draw-wire (string pot) sensor ($15) | Snow/level laser (outdoor ToF) ($70) | MaxBotix MB7389 weather LV ($110) | Benewake TF03 long-range industrial LiDAR ($180.0)
is-raining,Weather & outdoors,"Is it raining, and how hard?",5,,FOUNDATION,Reed switch ($0.5),SI4432/CC1101 sub-GHz sniffer,Reed switch ($0.5),Reed switch ($0.5),Reed switch ($0.5) | Capacitive rain/condensation plate ($3) | SI4432/CC1101 sub-GHz sniffer ($4) | Tipping bucket rain gauge ($12) | Leaf wetness sensor ($15)
wind-conditions,Weather & outdoors,"How windy is it, and from where?",5,,CORE,A3144 / SS49E Hall switches ($0.4),Ground vibration fence: fiber + photodiode,A3144 / SS49E Hall switches ($0.4),A3144 / SS49E Hall switches ($0.4),A3144 / SS49E Hall switches ($0.4) | SI4432/CC1101 sub-GHz sniffer ($4) | Ground vibration fence: fiber + photodiode ($10) | Anemometer cup sensor ($12) | Wind vane ($12)
uv-exposure,Weather & outdoors,How much UV have I accumulated today?,5,,BROAD,GUVA-S12SD UV analog ($4),AS7331 spectral UV,GUVA-S12SD UV analog ($4),GUVA-S12SD UV analog ($4),GUVA-S12SD UV analog ($4) | LTR-390 UV + ambient ($5) | ML8511 / VEML6075 UV outdoor ($6) | SI1145 UV/IR/visible ($8) | AS7331 spectral UV ($27.5)
heat-island,Weather & outdoors,How much hotter is this spot than the next street?,4,,FOUNDATION,AHT20 temp/humidity ($2),Alphasense OPC-N3 optical particle counter,AHT20 temp/humidity ($2),AHT20 temp/humidity ($2),AHT20 temp/humidity ($2) | u-blox M10 GNSS ($20) | Alphasense NO2-B43F electrochemical cell ($120.0) | Alphasense OPC-N3 optical particle counter ($500.0)
solar-resource,Weather & outdoors,How much solar energy is available?,3,rare,BROAD,ML8511 / VEML6075 UV outdoor ($6),Apogee SQ-500 full-spectrum quantum (PAR) sensor,ML8511 / VEML6075 UV outdoor ($6),ML8511 / VEML6075 UV outdoor ($6),ML8511 / VEML6075 UV outdoor ($6) | Pyranometer (solar irradiance) ($60) | Apogee SQ-500 full-spectrum quantum (PAR) sensor ($400.0)
lightning-distance,Weather & outdoors,How far away is the lightning?,1,SOLE ROUTE,COMPLETE,AS3935 lightning detector ($20),AS3935 lightning detector,AS3935 lightning detector ($20),AS3935 lightning detector ($20),AS3935 lightning detector ($20)
